LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
pcc_floortype,pcc_FloorType,Picklist,,PicklistType,True,True,True,True,72,,,Floor Type,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{59c835b3-e901-ed11-82e5-000d3a3aa389},None,Standard
pcc_floortypename,pcc_floortypeName,Virtual,pcc_floortype,VirtualType,False,False,False,True,73,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1fa6668a-c6a8-432c-ac84-b0bc26b859b4},None,Standard
pcc_glazing,pcc_Glazing,Picklist,,PicklistType,True,True,True,True,80,,,Glazing,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{4f6e66fd-e901-ed11-82e5-000d3a3aa389},None,Standard
pcc_glazingname,pcc_glazingName,Virtual,pcc_glazing,VirtualType,False,False,False,True,81,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{86fc3ee1-e509-4821-89d8-22cc928518d9},None,Standard
pcc_gradeofmostrecentepc,pcc_GradeOfMostRecentEPC,Picklist,,PicklistType,True,True,True,True,54,,,Grade Of Most Recent EPC,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{2373a3cf-e801-ed11-82e5-000d3a3aa389},None,Standard
pcc_gradeofmostrecentepcname,pcc_gradeofmostrecentepcName,Virtual,pcc_gradeofmostrecentepc,VirtualType,False,False,False,True,55,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{a641a05a-9945-43b7-9fe8-52becdd544d5},None,Standard
pcc_hasapgrade,pcc_HASAPGrade,Picklist,,PicklistType,True,True,True,True,57,,,HA SAP Grade,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{5e56bafb-e801-ed11-82e5-000d3a3aa389},None,Standard
pcc_hasapgradename,pcc_hasapgradeName,Virtual,pcc_hasapgrade,VirtualType,False,False,False,True,58,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{76ae2e53-05ec-4e3f-97ab-de968ec37c83},None,Standard
pcc_hasapscore,pcc_HASAPScore,Integer,,IntegerType,True,True,True,True,59,,,HA SAP Score,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{12f7a70d-e901-ed11-82e5-000d3a3aa389},None,Standard
pcc_heatingcontrols,pcc_HeatingControls,Picklist,,PicklistType,True,True,True,True,92,,,Heating Controls,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{ceb8e884-ea01-ed11-82e5-000d3a3aa389},None,Standard
pcc_heatingcontrolsname,pcc_heatingcontrolsName,Virtual,pcc_heatingcontrols,VirtualType,False,False,False,True,93,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{61a877f9-887d-40e2-801d-4fb0d63e35ec},None,Standard
pcc_homephone,pcc_HomePhone,String,,StringType,True,True,True,True,118,,,Home Phone,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{8548d087-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_inscopeformees,pcc_InScopeForMEES,Picklist,,PicklistType,True,True,True,True,49,,,In Scope For MEES,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{fdfdc39d-e801-ed11-82e5-000d3a3aa389},None,Standard
pcc_inscopeformeesname,pcc_inscopeformeesName,Virtual,pcc_inscopeformees,VirtualType,False,False,False,True,50,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{cf502ad0-3a6e-48e3-8fcf-76b7bb61728c},None,Standard
pcc_landlordlookup,pcc_LandlordLookup,Lookup,,LookupType,True,True,True,True,44,,,Landlord (Lookup),pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{44ce9057-543a-4964-aba8-1de3f5acb795},None,Standard
pcc_landlordlookupname,pcc_LandlordLookupName,String,pcc_landlordlookup,StringType,False,False,False,True,45,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{9891e187-727e-4daf-a911-1facd49e2654},None,Standard
pcc_landlordlookupyominame,pcc_LandlordLookupYomiName,String,pcc_landlordlookup,StringType,False,False,False,True,46,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{2fe9dbc7-d261-4e18-acca-c3b5c83cf204},None,Standard
pcc_lastname,pcc_LastName,String,,StringType,True,True,True,True,117,,,Last Name,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{58a4cc7b-eb01-ed11-82e5-000d3a3aa389},None,Standard
pcc_likelihoodofprivatelyrented,pcc_LikelihoodOfPrivatelyRented,Picklist,,PicklistType,True,True,True,True,47,,,Likelihood Of Privately Rented,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{23c2518a-e801-ed11-82e5-000d3a3aa389},None,Standard
pcc_likelihoodofprivatelyrentedname,pcc_likelihoodofprivatelyrentedName, ,pcc_likelihoodofprivatelyrented,VirtualType,False,False,False,True,48,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{00dac9fb-9e73-4027-9825-88167e51b267},None,Standard
pcc_listedproperty,pcc_ListedProperty,Picklist,,PicklistType,True,True,True,True,66,,,Listed Property,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{7e3c137c-e901-ed11-82e5-000d3a3aa389},None,Standard
pcc_listedpropertyname,pcc_listedpropertyName,Virtual,pcc_listedproperty,VirtualType,False,False,False,True,67,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{e69760ad-9aff-4004-9d66-ab465465792a},None,Standard
pcc_lladdress1city,pcc_LLAddress1City,String,,StringType,True,True,True,True,132,,,LL Address 1: City,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{6eb9673b-ec01-ed11-82e5-000d3a3aa389},None,Standard
pcc_lladdress1county,pcc_LLAddress1County,String,,StringType,True,True,True,True,133,,,LL Address 1: County,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,,{4b646241-ec01-ed11-82e5-000d3a3aa389},None,Standard
